relation_id,canonical_label,raw_label,relation_type,source_concept_id,target_concept_id,source_end_multiplicity,target_end_multiplicity,lifecycle_status,cardinality_status,superseded_by,notes
CMPE-R0036,governs,,material,CMPE-C0009,CMPE-C0013,0..*,1,active,transcribed,,
CMPE-R0037,records,,material,CMPE-C0033,CMPE-C0017,1,0..*,active,transcribed,,
CMPE-R0038,assists,,material,CMPE-C0030,CMPE-C0016,1,0..*,active,transcribed,,
CMPE-R0039,material relation,,material,CMPE-C0009,CMPE-C0039,0..*,0..*,active,transcribed-provisional-label,,Generic source label retained pending terminology review.
CMPE-R0040,engages in,,material,CMPE-C0001,CMPE-C0014,1..*,1,active,transcribed,,
