relation_id,canonical_label,raw_label,relation_type,source_concept_id,target_concept_id,source_end_multiplicity,target_end_multiplicity,lifecycle_status,cardinality_status,superseded_by,notes
CMPE-R0031,constrains,constraints,material,CMPE-C0036,CMPE-C0037,0..*,0..*,active,transcribed-lexical-normalization,,The source label constraints is normalized to constrains; raw label retained.
CMPE-R0032,informs,,material,CMPE-C0038,CMPE-C0036,1,0..*,active,transcribed,,
CMPE-R0033,informs,,material,CMPE-C0038,CMPE-C0001,1,0..*,active,transcribed,,
CMPE-R0034,informs,,material,CMPE-C0038,CMPE-C0028,1,0..*,active,transcribed,,
CMPE-R0035,follows,,material,CMPE-C0037,CMPE-C0022,0..*,1,active,transcribed,,
